"","Time","Plot_number","Treatment","Quadrat_number","Quadrat_fenced","Quadrat_gap","Richness_change"
"230","3-6",12,"Gap",6,"True","True",-4
"231","3-6",12,"Gap",7,"False","True",-8
"232","3-6",12,"Gap",8,"True","False",-4
"233","3-6",12,"Gap",9,"False","True",-9
"234","3-6",12,"Gap",10,"True","True",1
"235","3-6",12,"Gap",11,"False","True",-7
"236","3-6",12,"Gap",12,"True","True",-6
"237","3-6",12,"Gap",13,"False","False",-7
"238","3-6",12,"Gap",14,"True","True",-6
"239","3-6",12,"Gap",15,"False","False",-8
"240","3-6",12,"Gap",16,"True","True",-9
"241","3-6",12,"Gap",17,"False","True",-1
"242","3-6",12,"Gap",18,"True","True",-8
"243","3-6",12,"Gap",19,"False","True",-2
"244","3-6",12,"Gap",20,"True","True",-11
"245","3-6",12,"Gap",21,"False","False",-8
"246","3-6",12,"Gap",22,"True","False",-6
"247","3-6",12,"Gap",23,"False","True",-5
"248","3-6",12,"Gap",24,"True","False",-2
"249","3-6",12,"Gap",25,"False","True",-9
"250","3-6",12,"Gap",26,"True","False",-16
"251","3-6",12,"Gap",27,"False","False",-3
"252","3-6",12,"Gap",28,"True","True",-6
"253","3-6",12,"Gap",29,"False","False",-2
"254","3-6",12,"Gap",30,"True","False",-3
"255","3-6",12,"Gap",31,"False","False",-7
"256","3-6",12,"Gap",32,"True","True",-5
"257","0-6",7,"Radial",1,"False","False",1
"258","0-6",7,"Radial",2,"True","True",6
"259","0-6",7,"Radial",3,"False","True",0
"260","0-6",7,"Radial",4,"True","True",-1
"261","0-6",7,"Radial",5,"False","False",0
"262","0-6",7,"Radial",6,"True","False",-6
"263","0-6",7,"Radial",7,"False","True",3
"264","0-6",7,"Radial",8,"True","True",3
"265","0-6",7,"Radial",9,"False","False",1
"266","0-6",7,"Radial",10,"True","True",-1
"267","0-6",7,"Radial",11,"False","False",-7
"268","0-6",7,"Radial",12,"True","True",-3
"269","0-6",7,"Radial",13,"False","True",-3
"270","0-6",7,"Radial",14,"True","True",-7
"271","0-6",7,"Radial",15,"False","True",-2
"272","0-6",7,"Radial",16,"True","False",-5
"273","0-6",7,"Radial",17,"False","False",-3
"274","0-6",7,"Radial",18,"True","True",0
"275","0-6",7,"Radial",19,"False","True",4
"276","0-6",7,"Radial",20,"True","True",1
"277","0-6",7,"Radial",21,"False","False",-4
"278","0-6",7,"Radial",22,"True","False",-6
"279","0-6",7,"Radial",23,"False","False",0
"280","0-6",7,"Radial",24,"True","False",1
"281","0-6",7,"Radial",25,"False","False",-3
"282","0-6",7,"Radial",26,"True","True",-6
"283","0-6",7,"Radial",27,"False","True",-6
"284","0-6",7,"Radial",28,"True","True",-5
"285","0-6",7,"Radial",29,"False","True",-2
"286","0-6",7,"Radial",30,"True","True",-1
"287","0-6",7,"Radial",31,"False","True",-4
"288","0-6",7,"Radial",32,"True","False",-8
"289","0-6",9,"Radial",1,"False","True",-16
"290","0-6",9,"Radial",2,"True","True",-6
"291","0-6",9,"Radial",3,"False","True",-1
"292","0-6",9,"Radial",4,"True","True",-5
"293","0-6",9,"Radial",5,"False","True",-5
"294","0-6",9,"Radial",6,"True","True",-9
"295","0-6",9,"Radial",7,"False","True",-4
"296","0-6",9,"Radial",8,"True","True",-8
"297","0-6",9,"Radial",9,"False","True",-11
"298","0-6",9,"Radial",10,"True","False",-7
