Tree Number,Plot,Treatment,Large,Alive at year 0,DBH year 0,Hollows Class 1 year 0,Hollows Class 2 year 0,Hollows Class 3 year 0,Alive at year 6,DBH year 6,Hollows Class 1 year 6,Hollows Class 2 year 6,Hollows Class 3 year 6
185,5,T2: Radial,True,True,24.9,0.0,0.0,0.0,True,38.9,0.0,0.0,0.0
186,5,T2: Radial,True,True,57.3,3.0,0.0,1.0,True,60.8,2.0,0.0,2.0
407,9,T2: Radial,False,True,24.9,0,0,0,,27.0,0,0,0
408,9,T2: Radial,False,True,28.2,0,0,0,,29.8,0,0,0
411,9,T2: Radial,False,True,21.3,0,0,0,,21.9,,,
412,9,T2: Radial,False,True,20.5,,,,,21.0,0,0,0
413,9,T2: Radial,False,True,21.0,0,0,0,,22.6,0,0,0
414,9,T2: Radial,False,True,28.1,,,,,30.4,0,0,0
406,9,T2: Radial,False,True,27.7,0,0,0,,29.8,0,0,0
417,9,T2: Radial,False,True,29.1,,,,,31.5,0,0,0
419,9,T2: Radial,False,True,26.8,,,,True,29.2,,,
420,9,T2: Radial,False,True,22.8,,,,,24.7,0,0,0
401,9,T2: Radial,False,True,39.5,0,0,0,,44.6,0,0,0
402,9,T2: Radial,False,True,33.9,0,0,0,,38.5,0,0,0
403,9,T2: Radial,False,True,33.0,1,0,0,,35.0,0,0,0
404,9,T2: Radial,False,True,34.1,0,0,0,,35.1,0,0,0
405,9,T2: Radial,False,True,31.9,0,0,0,,36.9,0,0,0
409,9,T2: Radial,False,True,37.2,,,,,41.0,1,0,0
410,9,T2: Radial,False,True,31.8,,,,,,,,
415,9,T2: Radial,False,True,33.8,,,,,35.5,0,0,0
416,9,T2: Radial,False,True,37.8,,,,,40.3,0,0,0
418,9,T2: Radial,False,True,31.9,,,,,33.0,,,
108,9,T2: Radial,True,True,40.5,0,0,0,,,,,
109,9,T2: Radial,True,True,38.5,0,0,0,True,41.2,0,0,0
105,9,T2: Radial,True,True,43.7,0,0,0,True,49.9,0,0,0
106,9,T2: Radial,True,True,40.1,0,0,0,True,46.0,0,0,0
92,9,T2: Radial,True,True,30.8,0,0,0,,,,,
91,9,T2: Radial,True,True,40.7,0,0,0,True,45.5,0,0,0
95,9,T2: Radial,True,True,41.2,0,0,0,True,48.5,0,0,0
94,9,T2: Radial,True,True,32.6,1,0,0,True,38.1,0,0,0
93,9,T2: Radial,True,True,39.5,0,0,0,True,44.3,0,0,0
96,9,T2: Radial,True,True,39.2,0,0,0,True,43.2,0,0,0
104,9,T2: Radial,True,True,50.5,0,0,0,True,55.8,0,0,0
103,9,T2: Radial,True,True,40.5,0,0,0,True,45.8,0,0,0
99,9,T2: Radial,True,True,42.5,0,0,0,,,,,
98,9,T2: Radial,True,True,40.3,0,0,0,True,45.4,0,0,0
100,9,T2: Radial,True,True,42.2,0,0,0,True,49.6,0,0,0
97,9,T2: Radial,True,True,43.1,0,0,0,True,49.3,0,0,0
101,9,T2: Radial,True,True,39.1,0,0,0,True,44.6,0,0,0
102,9,T2: Radial,True,True,46.1,0,0,0,True,51.9,0,0,0
107,9,T2: Radial,True,True,33.0,0,0,0,,,,,
225,2,Control,True,True,36.60563691113593,0.0,0.0,0.0,True,52.0,0.0,,
226,2,Control,True,True,35.96901713876835,0.0,0.0,0.0,True,36.6,0.0,,
228,2,Control,True,True,42.01690497626037,0.0,0.0,0.0,True,43.7,0.0,,
227,2,Control,True,True,42.97183463481174,0.0,0.0,0.0,True,41.6,0.0,,
229,2,Control,True,True,38.515496228238675,0.0,0.0,0.0,True,43.3,0.0,,
232,2,Control,True,True,40.42535554534142,0.0,0.0,0.0,True,41.7,0.0,,
233,2,Control,True,True,39.470425886790046,1.0,0.0,0.0,True,37.8,0.0,,
235,2,Control,True,True,49.01972247230376,0.0,0.0,0.0,True,51.0,0.0,,
236,2,Control,True,True,42.65352474862795,0.0,0.0,0.0,True,43.2,0.0,,
237,2,Control,True,True,44.245074179546904,0.0,0.0,0.0,True,46.0,0.0,,
224,2,Control,True,True,38.515496228238675,0.0,0.0,0.0,True,40.2,0.0,,
222,2,Control,True,True,40.42535554534142,0.0,0.0,0.0,True,42.4,0.0,,
223,2,Control,True,True,40.10704565915763,1.0,0.0,0.0,True,39.9,0.0,,
239,2,Control,True,True,36.92394679731972,0.0,0.0,0.0,True,36.4,0.0,,
238,2,Control,True,True,38.515496228238675,0.0,0.0,0.0,True,39.2,0.0,,
221,2,Control,True,True,37.24225668350351,0.0,0.0,0.0,True,38.9,0.0,,
231,2,Control,True,True,42.01690497626037,0.0,0.0,0.0,True,39.9,0.0,,
234,2,Control,True,True,37.5605665696873,0.0,0.0,0.0,True,39.2,0.0,,
240,2,Control,True,True,36.92394679731972,0.0,0.0,0.0,True,38.3,,,
230,2,Control,True,True,34.0591578216656,0.0,0.0,0.0,True,34.1,0.0,,
521,2,Control,False,True,25.3,,,,True,26.6,0.0,,
523,2,Control,False,True,22.5,,,,True,23.7,0.0,,
524,2,Control,False,True,23.5,,,,True,25.0,0.0,,
526,2,Control,False,True,21.5,,,,True,21.8,0.0,,
528,2,Control,False,True,24.0,,,,True,24.5,0.0,,
531,2,Control,False,True,28.1,,,,True,28.6,0.0,,
532,2,Control,False,True,24.3,,,,True,24.8,0.0,,
533,2,Control,False,True,29.5,,,,True,30.0,0.0,,
534,2,Control,False,True,27.0,,,,True,27.8,0.0,,
537,2,Control,False,True,25.5,,,,True,26.2,0.0,,
522,2,Control,False,True,34.3,0.0,0.0,0.0,True,35.7,0.0,,
525,2,Control,False,True,33.6,0.0,0.0,0.0,True,35.3,0.0,,
527,2,Control,False,True,32.2,0.0,0.0,0.0,True,33.7,0.0,,
529,2,Control,False,True,32.1,0.0,0.0,1.0,True,32.6,0.0,,
530,2,Control,False,True,31.8,0.0,0.0,0.0,True,32.6,0.0,,
535,2,Control,False,True,30.7,0.0,0.0,0.0,True,32.3,0.0,,
536,2,Control,False,True,33.3,0.0,0.0,0.0,True,34.1,0.0,,
538,2,Control,False,True,31.0,0.0,0.0,0.0,True,31.4,0.0,,
539,2,Control,False,True,30.9,0.0,0.0,0.0,True,31.2,0.0,,
540,2,Control,False,True,33.2,0.0,0.0,0.0,True,34.5,0.0,,
251,3,T2: Radial,True,True,42.3,0.0,0.0,0.0,True,45.6,0.0,0.0,0.0
252,3,T2: Radial,True,True,41.4,0.0,0.0,0.0,True,47.0,0.0,0.0,0.0
254,3,T2: Radial,True,True,37.3,0.0,0.0,0.0,True,42.0,0.0,0.0,0.0
242,3,T2: Radial,True,True,36.0,0.0,0.0,0.0,,41.9,,,
243,3,T2: Radial,True,True,38.2,0.0,0.0,1.0,True,41.8,,,
258,3,T2: Radial,True,True,35.0,0.0,0.0,0.0,True,37.8,0.0,0.0,0.0
256,3,T2: Radial,True,True,38.2,0.0,0.0,0.0,True,45.3,0.0,0.0,0.0
250,3,T2: Radial,True,True,31.9,0.0,0.0,0.0,,,,,
264,3,T2: Radial,True,True,46.8,0.0,0.0,0.0,True,48.0,0.0,0.0,0.0
263,3,T2: Radial,True,True,38.2,0.0,0.0,0.0,True,43.0,0.0,0.0,0.0
262,3,T2: Radial,True,True,48.1,0.0,0.0,0.0,True,49.1,0.0,0.0,0.0
261,3,T2: Radial,True,True,37.3,0.0,0.0,0.0,True,38.8,0.0,0.0,0.0
260,3,T2: Radial,True,True,36.6,0.0,0.0,0.0,True,39.0,0.0,0.0,0.0
265,3,T2: Radial,True,True,36.3,0.0,0.0,0.0,True,40.0,0.0,0.0,0.0
259,3,T2: Radial,True,True,34.7,0.0,0.0,0.0,True,38.0,0.0,0.0,0.0
266,3,T2: Radial,True,True,28.7,0.0,0.0,0.0,True,33.0,0.0,0.0,0.0
